teacher_id;class_id;subject;academic_year;semester
G-14;7D;MATEMATIKA;2025/2026;1
G-14;7E;MATEMATIKA;2025/2026;1
G-14;7F;MATEMATIKA;2025/2026;1
G-15;7C;BAHASA INDONESIA;2025/2026;1
G-15;7D;BAHASA INDONESIA;2025/2026;1
G-15;7E;BAHASA INDONESIA;2025/2026;1
G-15;7F;BAHASA INDONESIA;2025/2026;1
G-16;8A;ILMU PENGETAHUAN ALAM;2025/2026;1
G-16;8B;ILMU PENGETAHUAN ALAM;2025/2026;1
G-16;8C;ILMU PENGETAHUAN ALAM;2025/2026;1
G-16;8D;ILMU PENGETAHUAN ALAM;2025/2026;1
G-16;8E;ILMU PENGETAHUAN ALAM;2025/2026;1
G-16;8F;ILMU PENGETAHUAN ALAM;2025/2026;1
G-17;9A;BAHASA INDONESIA;2025/2026;1
G-17;9B;BAHASA INDONESIA;2025/2026;1
G-17;9C;BAHASA INDONESIA;2025/2026;1
G-17;9D;BAHASA INDONESIA;2025/2026;1
G-17;9E;BAHASA INDONESIA;2025/2026;1
G-17;9F;BAHASA INDONESIA;2025/2026;1
G-18;8A;PRAKARYA;2025/2026;1
G-18;8B;PRAKARYA;2025/2026;1
G-18;8C;PRAKARYA;2025/2026;1
G-18;8D;PRAKARYA;2025/2026;1
G-18;8E;PRAKARYA;2025/2026;1
G-18;8F;PRAKARYA;2025/2026;1
G-19;7E;PJOK;2025/2026;1
G-19;7F;PJOK;2025/2026;1
G-20;7A;SENI RUPA;2025/2026;1
G-20;7B;SENI RUPA;2025/2026;1
G-20;7C;SENI RUPA;2025/2026;1
G-20;7D;SENI RUPA;2025/2026;1
G-20;9A;SENI RUPA;2025/2026;1
G-20;9B;SENI RUPA;2025/2026;1
G-20;9C;SENI RUPA;2025/2026;1
G-20;9D;SENI RUPA;2025/2026;1
G-20;9E;SENI RUPA;2025/2026;1
G-20;9F;SENI RUPA;2025/2026;1
G-21;8A;PJOK;2025/2026;1
G-21;8B;PJOK;2025/2026;1
G-21;8C;PJOK;2025/2026;1
G-21;8D;PJOK;2025/2026;1
G-21;8E;PJOK;2025/2026;1
G-21;8F;PJOK;2025/2026;1
G-21;9C;INFORMATIKA;2025/2026;1
G-21;9D;INFORMATIKA;2025/2026;1
G-21;9E;INFORMATIKA;2025/2026;1
G-21;9F;INFORMATIKA;2025/2026;1
G-22;7E;SENI TARI;2025/2026;1
G-22;7F;SENI TARI;2025/2026;1
G-23;8A;BAHASA INDONESIA;2025/2026;1
