id;teacher_id;class_id;subject;academic_year;semester;created_at
e49be9d4-c460-447a-843b-72c207293b83;G-04;7C;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
e5211aa6-8e36-444c-84b8-6653c81f0f47;G-29;7B;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
e52cc119-ff34-4d9f-b4df-35f083863db5;G-14;7F;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
e561e4b4-e669-4f35-910d-ab4b207f5a03;G-13;7F;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
e793f068-d145-41c4-9d39-1f2a622c88fb;G-14;7C;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
e93c3c9d-b750-444a-b538-1617fc3b0afe;G-03;9A;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
ed4fa016-42e4-4fd4-859d-e21fa9749dcc;G-13;7D;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
f027ab16-6996-40a6-8295-069fe5e7e3fb;G-14;7A;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
f08fb902-14c0-4df8-ba45-1ad73d25f6f7;G-26;7A;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
f2cb952b-3556-4e56-aa8a-dce9c3e8c137;G-05;8E;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
f3d800af-6f62-48b1-a194-9edc9990b140;G-21;9F;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
f3feae35-7396-48d1-84c9-f0820d4f5627;G-23;8B;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
f401c444-a259-45c5-8755-2f1c05a8b349;G-20;9D;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
f5f7baf2-7caa-48a6-8775-7d0c377dfeb6;G-29;8B;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
f935d558-7e71-486e-a369-c88f22b9bb19;G-26;8B;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
fa003d46-9752-401d-b711-a086837430bb;G-15;7F;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
fa2cc1f1-eccd-4f8a-b4d4-a3cfe145a53a;G-05;8C;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
fbb75438-7335-415e-8f4d-529df8222cb0;G-03;9D;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
ff353f32-ce93-46ee-87a2-0f25aa9cccaf;G-18;8D;PRAKARYA;2025/2026;1;2025-09-20 05:45:42.601363+00
ff44382d-db26-4fa8-a0b3-360f79334769;G-06;7F;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
