id;teacher_id;class_id;subject;academic_year;semester;created_at
34726366-6066-4d9c-9720-62ba7919cd3c;G-12;7A;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
38ba2fbb-1082-4091-8663-ea26c5c6ca13;G-29;8E;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
39008f43-0c68-4999-a891-9ea731cb00ba;G-03;7A;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
39156d49-f2ec-4d9f-a1ed-814c5221fac7;G-29;8C;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
3987c1a6-d3c6-4019-9238-84bff33febdc;G-18;8A;PRAKARYA;2025/2026;1;2025-09-20 05:45:42.601363+00
39f2fbe3-07e7-456e-9c35-0faf9c5e0c3c;G-28;9A;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
3b70e80d-fceb-44cd-a697-4d1e441f70a3;G-24;9F;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
3c17d19b-a94e-4dc9-a232-23deebf3e275;G-23;8F;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
3e1af745-f793-4e38-8b6e-6c0ef7a16d78;G-02;7D;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
3ea38ad5-6098-4f61-8c74-cd993848c010;G-07;7A;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
41719413-82ee-4dd2-bc5a-d3fbb8961982;G-29;8F;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
4221cd0d-bec9-4dc2-9819-b28f83f44e71;G-19;7F;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
428fee94-d40d-4aab-976d-2b3e6dd876d3;G-15;7D;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
43b7f51c-96e5-41a7-8396-709382b424b9;G-29;8F;KODING & AI;2025/2026;1;2025-09-20 05:45:42.601363+00
43dda22a-7c01-4e07-9904-9244670c7b16;G-27;7B;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
45eccc86-7067-4af1-9456-78f2b10789f3;G-02;9E;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
45f2b3d7-0f99-4f77-8501-b80de8a9f7e9;G-11;7F;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
4665517e-291f-44d3-8bf7-266b988352ee;G-07;8A;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
4929a0f3-f76a-46a8-9c2d-14c32dce1320;G-03;7D;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
494528ca-8511-4ae3-ad3f-31824ae52dfd;G-02;9C;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
4a22e65f-b4e0-46d0-b41d-30706a61f24a;G-08;8D;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
4d75e7a4-bac2-4e07-bdaa-d6e8baa75376;G-04;8B;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
4e278f56-8874-43eb-badd-f9ce28be2665;G-26;8A;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
4fa729c7-0890-4c17-b7f3-ba41ce2a482e;G-05;8B;MATEMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
520473cc-4a39-4a92-adc1-c37133f54e03;G-06;7E;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
53c18bad-2e32-4847-be81-43314c17bf94;G-08;8E;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
55836bb3-5155-475a-9069-0bd8cee4419a;G-20;7C;SENI RUPA;2025/2026;1;2025-09-20 05:45:42.601363+00
57ef02a7-c3a4-49ee-8be5-9f538b2605a0;G-11;9A;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
587df47e-c53a-415e-99f6-d9a00ca63701;G-17;9F;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
58fd17e2-5497-4288-b06e-9f6160ad2b3d;G-13;7C;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
5924d0ae-f90f-493e-8fb7-1382a18c3651;G-02;8C;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
593bc401-9ef9-41c1-b1b3-5ab093aa335a;G-02;7C;BAHASA SUNDA;2025/2026;1;2025-09-20 05:45:42.601363+00
5c7693c0-8efc-46c8-bbb8-7a27b5acd76e;G-04;7B;ILMU PENGETAHUAN SOSIAL;2025/2026;1;2025-09-20 05:45:42.601363+00
5fccf019-d987-4af8-a938-b1e6a3cf441d;G-18;8C;PRAKARYA;2025/2026;1;2025-09-20 05:45:42.601363+00
604350a7-7773-427b-8748-a410c69485c7;G-23;8C;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
6075e6bb-5cfc-4f03-ad09-86f2e7604248;G-22;7F;SENI TARI;2025/2026;1;2025-09-20 05:45:42.601363+00
61ae1210-e4f9-45cd-9134-90db43cd2f26;G-25;;BP/BK;2025/2026;1;2025-09-20 05:45:42.601363+00
628a9489-3d95-4a60-8898-b47e4a85315a;G-06;7B;PENDIDIKAN PANCASILA;2025/2026;1;2025-09-20 05:45:42.601363+00
644f2b00-b413-47e3-92bd-ffb7c802640f;G-21;8B;PJOK;2025/2026;1;2025-09-20 05:45:42.601363+00
65d1be4c-0ed8-4e6d-adee-e8577282def6;G-09;9E;ILMU PENGETAHUAN ALAM;2025/2026;1;2025-09-20 05:45:42.601363+00
66626348-a897-4846-9c9e-103c73996e17;G-29;8A;INFORMATIKA;2025/2026;1;2025-09-20 05:45:42.601363+00
67006c12-0f69-45b6-a0c5-e217829ef707;G-12;7B;BAHASA INGGRIS;2025/2026;1;2025-09-20 05:45:42.601363+00
6a1e116f-2b21-4cb8-8665-ff3397b54c6c;G-07;8E;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
6dfcbdc8-6f1a-45e3-bb34-cb1af522ab17;G-11;9D;PENDIDIKAN AGAMA ISLAM;2025/2026;1;2025-09-20 05:45:42.601363+00
6e2411a7-7a69-4bf2-8cbe-e61cc9022a47;G-26;7B;BAHASA INDONESIA;2025/2026;1;2025-09-20 05:45:42.601363+00
