id;student_id;class_id;teacher_id;subject;assignment_type;score;semester;academic_year;created_at
16f13d53-cbb7-43e1-a1b8-5bfca393d716;32ff0da9-aed9-4573-9df5-725eb05304be;7A;1ebde390-aa49-41c1-bd3c-665f1662e80a;BAHASA INGGRIS;NH2;90;1;2025/2026;2025-09-20 08:50:06.965251+00
92011dee-f6ac-40a7-9616-66916e5bc248;32ff0da9-aed9-4573-9df5-725eb05304be;7A;1ebde390-aa49-41c1-bd3c-665f1662e80a;BAHASA INGGRIS;UTS;90;1;2025/2026;2025-09-20 08:50:06.965251+00
b0dbc034-f610-4dcd-b49c-ad277ebce2ef;32ff0da9-aed9-4573-9df5-725eb05304be;7A;1ebde390-aa49-41c1-bd3c-665f1662e80a;BAHASA INGGRIS;NH1;90;1;2025/2026;2025-09-20 08:50:06.965251+00
b28fcc0e-310b-413f-8ba8-5c7ff9ff394a;32ff0da9-aed9-4573-9df5-725eb05304be;7A;1ebde390-aa49-41c1-bd3c-665f1662e80a;BAHASA INGGRIS;NH3;90;1;2025/2026;2025-09-20 08:50:06.965251+00
cacd2875-cb6f-4696-a7ed-d334c085ce6f;32ff0da9-aed9-4573-9df5-725eb05304be;7A;1ebde390-aa49-41c1-bd3c-665f1662e80a;BAHASA INGGRIS;UAS;90;1;2025/2026;2025-09-20 08:50:06.965251+00
